Xantippe,-30.03333,117.03333
Wyworrie,-29.67458,116.2892
Wyranie,-32.38333,139.4
Wyralinu,-32.05,122.78333
Wyooda Thangoo,-27.41667,119.43333
Wyonning Creek,-32.73333,117.18333
Wyonga River,-13.16667,136.28333
Wyola Lake,-29.13066,130.33456
Wyola,-31.63333,117.36667
Wyockman Creek,-17.16667,129.3
Wynyangoo,-27.93333,118.18333
Mount Wynne,-18.09888,124.4605
Wyngraming Waterhole,-17.9,129.61667
Wyndidda Spring,-26.5,122.85
Wyndidda Creek,-26.45,122.96667
Wyndham Well,-19.48333,121.38333
Wyndham River,-25.08333,115.46667
Wyndham Range,-16.66667,123.9
Wyndham,-15.4869,128.12428
Wynbring Station,-30.55,133.53333
Wynbring Rocks,-30.55,133.53333
Wynbarra Waterhole,-15.4,131.33333
Wynarka,-35.13333,139.73333
Lake Wynalkana,-27.3962,139.7774
Wymans Well,-21.3,119.83333
Wyloo Well,-21.91667,114.98333
Wylookarri Rockhole,-23.81667,129.86667
Wyloo,-22.69063,116.233
Wyllie Well,-20.06667,119.41667
Wylies Well,-26.33333,134.43333
Wyjarrahbee Well,-19.78333,122.06667
Wyening,-31.18333,116.48333
Wyemandoo,-28.51667,118.53333
Wyella Waterhole,-16.61667,133.38333
Wye Hill,-14.9,132.26667
Wydgee,-28.85,117.81667
Wycliffe Well,-20.8,134.23333
Wycliffe Creek,-20.73333,134.1
Wybron Island,-16.46667,123.33333
Wyatts Hill,-26.73333,137.98333
Wyambana,-31.18333,139.43333
Wyalta Waterhole,-28.65,138.41667
Wyalla Bay,-11.63333,133.36667
Wyalkatchem,-31.18063,117.3836
Wyaga Bore,-21.86667,138.9
Wyacca Hill,-31.78333,138.73333
W. W. Waterhole,-15.68333,133.25
Wurugoij Creek,-11.93333,133.9
Wurtheroo Creek,-28.4,138.75
Wurruling Waterhole,-17.7,129.31667
Wurrildee,-35.53333,138.63333
Wurrengoodyea Hills,-32.2,126.36667
Wurrah,-27.36667,117.35
Wurndoang,-35.46667,138.88333
Wurley Rumbo,-28.88333,139.11667
Wurley Point,-29.03333,136.55
Wurley Lagoon,-29.38333,134.4
Wurilba,-33.38333,138.11667
Wurembong Waterhole,-16.06667,132.35
Wurarga,-28.41667,116.28333
Wuraming,-32.8,116.28333
Wunungun Point,-16.73333,139.31667
Wuntuntoopininna Waterhole,-27.93333,136.3
Wuntanoorinna Waterhole,-27.88333,136.61667
Wundowie,-31.76163,116.3799
Wundirgi Waterhole,-19.06667,134.53333
Wundin Pool,-20.6,119.88333
Wudinna Hill,-33,135.56667
Wudinna East,-33.01667,135.61667
Wudinna,-33.05013,135.46381
Wubin,-30.1,116.63333
Wrights Reef Well,-28.06667,119.23333
Wrights Hut Dam,-32.43333,139.43333
Wright Island,-35.58267,138.60854
Wright Hill,-33.03333,139.55
Wright Hill,-27.61667,131.03333
Lake Wright,-27.51667,129.45
Wreck Point,-31.51667,115.6
Wreck Point,-28.98333,113.93333
Wreck Island,-29,113.95
Wow Wow Tanks,-32.56667,135.23333
Wowra Brook,-31.33333,115.93333
Wownaminya,-28.45,116.83333
Wowaljarrow Pool,-19.26667,127.93333
Wothella Rockhole,-31.95,126.45
Wotan Well,-19.75,121.15
Worthington Well,-26,118.31667
Worth Bore,-24.33333,116
Mount Worsnop,-26.15669,124.7611
Worsley,-33.3,116
Worroo Well,-19.68333,120.85
