Date,Open,High,Low,Close,Volume
21-2-2008,28.62,28.96,27.96,28.1,93929500
20-2-2008,28.15,28.26,27.92,28.22,91906600
19-2-2008,28.8,28.84,28.07,28.17,65959100
15-2-2008,28.31,28.64,28.25,28.42,64352200
14-2-2008,28.88,29.04,28.46,28.5,66801900
13-2-2008,28.62,29.05,28.53,28.96,86135900
12-2-2008,28.43,28.62,28.11,28.34,82828900
11-2-2008,28.52,28.61,27.91,28.21,52674300
8-2-2008,28.29,29.08,28.24,28.56,22963100
7-2-2008,28.34,28.78,27.9,28.12,62828100
6-2-2008,29.28,29.35,28.29,28.52,34683000
5-2-2008,29.91,29.94,28.89,29.07,35043600
4-2-2008,30.49,30.72,30.11,30.19,12444400
1-2-2008,31.06,33.25,30.25,30.45,63665700
30-1-2008,32.56,32.8,32.05,32.2,5061000
29-1-2008,32.85,32.89,32.35,32.6,66145900
28-1-2008,33.02,33.1,32.42,32.72,79929100
