eqid,lon,region,depth,src,nst,version,datetime,lat,magnitude
2010zwaw,20.570599999999900,Greece,10.000000000000000,us,54,6,Thu Aug 12 00:00:00 -0400 2010,39.476799999999900,4.500000000000000
2010zxaw,-32.991900000000000,Azores Islands region,10.000000000000000,us,123,6,Thu Aug 12 00:00:00 -0400 2010,37.078000000000000,5.100000000000000
2010zwa5,-77.374399999999900,Ecuador,189.900000000000000,us,307,6,Thu Aug 12 00:00:00 -0400 2010,-1.274900000000000,6.900000000000000
2010vcbv,-177.862300000000000,Kermadec Islands region,42.200000000000000,us,25,7,Thu Apr 15 00:00:00 -0400 2010,-31.206000000000000,5.200000000000000
2010zxag,148.575799999999000,northwest of the Kuril Islands,396.300000000000000,us,199,6,Thu Aug 12 00:00:00 -0400 2010,48.237499999999900,5.200000000000000
2010zxan,-32.906900000000000,Azores Islands region,11.199999999999900,us,47,6,Thu Aug 12 00:00:00 -0400 2010,36.915399999999900,4.800000000000000
2010zxau,134.736099999999000,Sea of Japan,414.300000000000000,us,63,6,Thu Aug 12 00:00:00 -0400 2010,41.004899999999900,4.400000000000000
2010zxar,-32.809500000000000,Azores Islands region,10.000000000000000,us,61,7,Thu Aug 12 00:00:00 -0400 2010,37.057800000000000,4.700000000000000
2010vca3,-152.804800000000000,south of Alaska,10.000000000000000,us,38,6,Thu Apr 15 00:00:00 -0400 2010,53.655500000000000,4.300000000000000
2010vbct,166.630099999999000,Vanuatu,73.500000000000000,us,20,6,Wed Apr 14 00:00:00 -0400 2010,-13.883400000000000,4.900000000000000
2010zxat,-33.005200000000000,Azores Islands region,10.000000000000000,us,59,6,Thu Aug 12 00:00:00 -0400 2010,37.138599999999900,4.700000000000000
2010vbbe,167.259899999999000,Vanuatu,10.000000000000000,us,27,7,Wed Apr 14 00:00:00 -0400 2010,-18.707400000000000,4.900000000000000
2010vcac,-96.424499999999900,Oklahoma,5.000000000000000,us,11,8,Wed Apr 14 00:00:00 -0400 2010,34.695700000000000,3.000000000000000
2010zwan,167.588400000000000,Vanuatu,35.000000000000000,us,19,6,Thu Aug 12 00:00:00 -0400 2010,-17.503599999999900,5.300000000000000
2010zxas,-32.821399999999900,Azores Islands region,10.000000000000000,us,105,6,Thu Aug 12 00:00:00 -0400 2010,37.078499999999900,5.400000000000000
