Exchange,Symbol,Name,MarketCap,IPO,Sector,Industry
NYSE,FPL,First Trust New Opportunities MLP & Energy Fund,260.72M,2014,N/A,N/A
NYSE,FIV,First Trust Senior Floating Rate 2022 Target Term Fund,335.35M,2016,N/A,N/A
NYSE,FCT,First Trust Senior Floating Rate Income Fund II,346.79M,2004,N/A,N/A
NYSE,FGB,First Trust Specialty Finance and Financial Opportunities Fund,86.76M,2007,N/A,N/A
NYSE,FHY,First Trust Strategic High Income Fund II,83.44M,N/A,N/A,N/A
NYSE,FEO,First Trust/Aberdeen Emerging Opportunity Fund,76.73M,N/A,N/A,N/A
NYSE,FAM,First Trust/Aberdeen Global Opportunity Income Fund,135.33M,2006,N/A,N/A
NYSE,FE,FirstEnergy Corporation,16.14B,N/A,Public Utilities,Electric Utilities: Central
NYSE,FIT,Fitbit Inc.,1.26B,2015,Technology,Computer Manufacturing
NYSE,OAKS,Five Oaks Investment Corp.,80.52M,2013,Consumer Services,Real Estate Investment Trusts
NYSE,OAKS^A,Five Oaks Investment Corp.,N/A,N/A,N/A,N/A
NYSE,FPH,Five Point Holdings LLC,769.09M,2017,Finance,Real Estate
NYSE,FBC,Flagstar Bancorp Inc.,2.03B,N/A,Finance,Savings Institutions
NYSE,DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,437.59M,2013,N/A,N/A
NYSE,PFD,Flaherty & Crumrine Preferred Income Fund Incorporated,149.85M,1991,N/A,N/A
NYSE,PFO,Flaherty & Crumrine Preferred Income Opportunity Fund Inc,133.32M,1992,N/A,N/A
NYSE,FFC,Flaherty & Crumrine Preferred Securities Income Fund Inc,811.15M,2003,N/A,N/A
NYSE,FLC,Flaherty & Crumrine Total Return Fund Inc,190.9M,2003,N/A,N/A
NYSE,FLT,FleetCor Technologies Inc.,17.98B,2010,Miscellaneous,Business Services
NYSE,FND,Floor & Decor Holdings Inc.,4.39B,2017,Consumer Services,RETAIL: Building Materials
NYSE,FTK,Flotek Industries Inc.,187.08M,N/A,Basic Industries,Major Chemicals
NYSE,FLO,Flowers Foods Inc.,4.18B,N/A,Consumer Non-Durables,Packaged Foods
NYSE,FLS,Flowserve Corporation,5.68B,N/A,Capital Goods,Fluid Controls
NYSE,FLR,Fluor Corporation,6.89B,N/A,Basic Industries,Military/Government/Technical
NYSE,FLY,Fly Leasing Limited,412.76M,2007,N/A,N/A
NYSE,FMC,FMC Corporation,12.17B,N/A,Basic Industries,Major Chemicals
NYSE,FMX,Fomento Economico Mexicano S.A.B. de C.V.,30.39B,N/A,Consumer Non-Durables,Beverages (Production/Distribution)
NYSE,FL,Foot Locker Inc.,5.32B,N/A,Consumer Services,Clothing/Shoe/Accessory Stores
NYSE,F,Ford Motor Company,45.59B,N/A,Capital Goods,Auto Manufacturing
NYSE,FELP,Foresight Energy LP,558.86M,2014,Energy,Coal Mining
NYSE,FCE.A,Forest City Realty Trust Inc.,N/A,N/A,N/A,N/A
NYSE,FOR,Forestar Group Inc,975.08M,2017,Finance,Real Estate
NYSE,FTS,Fortis Inc.,13.81B,2016,Public Utilities,Electric Utilities: Central
NYSE,FTV,Fortive Corporation,26.55B,2016,Capital Goods,Industrial Machinery/Components
NYSE,FTAI,Fortress Transportation and Infrastructure Investors LLC,1.35B,2015,N/A,N/A
NYSE,FSM,Fortuna Silver Mines Inc.,890.77M,N/A,Basic Industries,Precious Metals
NYSE,FBHS,Fortune Brands Home & Security Inc.,8.33B,N/A,Basic Industries,Homebuilding
NYSE,FET,Forum Energy Technologies Inc.,1.58B,2012,Energy,Metal Fabrications
NYSE,FBM,Foundation Building Materials Inc.,622.39M,2017,Consumer Services,RETAIL: Building Materials
NYSE,FCPT,Four Corners Property Trust Inc.,1.38B,2015,Consumer Services,Real Estate Investment Trusts
NYSE,FEDU,Four Seasons Education (Cayman) Inc.,342.62M,2017,Consumer Services,Other Consumer Services
NYSE,FNV,Franco-Nevada Corporation,13.2B,N/A,Basic Industries,Precious Metals
NYSE,FC,Franklin Covey Company,365.5M,N/A,Consumer Services,Other Consumer Services
NYSE,FSB,Franklin Financial Network Inc.,517.46M,2015,Finance,Major Banks
NYSE,BEN,Franklin Resources Inc.,18.3B,N/A,Finance,Investment Managers
NYSE,FT,Franklin Universal Trust,166.62M,N/A,N/A,N/A
NYSE,FI,Frank&#39;s International N.V.,1.66B,2013,Energy,Oilfield Services/Equipment
